experiment_index,experiment_file,experiment_id,linked_claim,evidence_bucket,role,synthetic_or_real,supports_or_weakens,usable_for_report
1,viruse_fabric/experiments/exp_01_projection.py,exp_01_projection,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
98,viruse_fabric/experiments/exp_180_final_residual_condition_evidence_execution.py,exp_180_final_residual_condition_evidence_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
99,viruse_fabric/experiments/exp_181_final_residual_evidence_boundary_audit_plus_gap_resolution_decision.py,exp_181_final_residual_evidence_boundary_audit_plus_gap_resolution_decision,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
100,viruse_fabric/experiments/exp_182_completion_decision_boundary_audit_planning.py,exp_182_completion_decision_boundary_audit_planning,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
101,viruse_fabric/experiments/exp_183_formal_definition_transition_boundary_audit_plan.py,exp_183_formal_definition_transition_boundary_audit_plan,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
102,viruse_fabric/experiments/exp_184_core_formal_object_inventory_execution.py,exp_184_core_formal_object_inventory_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
103,viruse_fabric/experiments/exp_185_sigma_a_formal_definition_draft_execution.py,exp_185_sigma_a_formal_definition_draft_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
104,viruse_fabric/experiments/exp_186_sigma_a_draft_consistency_boundary_audit.py,exp_186_sigma_a_draft_consistency_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
105,viruse_fabric/experiments/exp_187_sigma_a_carrier_and_time_index_refinement_plan.py,exp_187_sigma_a_carrier_and_time_index_refinement_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
106,viruse_fabric/experiments/exp_188_sigma_a_carrier_type_option_audit_execution.py,exp_188_sigma_a_carrier_type_option_audit_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
107,viruse_fabric/experiments/exp_189_sigma_a_carrier_type_selection_decision_boundary_plan.py,exp_189_sigma_a_carrier_type_selection_decision_boundary_plan,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
108,viruse_fabric/experiments/exp_18_persian_theory_chapter_exporter.py,exp_18_persian_theory_chapter_exporter,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
109,viruse_fabric/experiments/exp_190_sigma_a_carrier_type_selection_decision_execution.py,exp_190_sigma_a_carrier_type_selection_decision_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
110,viruse_fabric/experiments/exp_191_sigma_a_typed_product_carrier_component_slot_audit_execution.py,exp_191_sigma_a_typed_product_carrier_component_slot_audit_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
111,viruse_fabric/experiments/exp_192_sigma_a_typed_product_carrier_component_slot_refinement_execution_plan.py,exp_192_sigma_a_typed_product_carrier_component_slot_refinement_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
112,viruse_fabric/experiments/exp_193_sigma_a_typed_product_carrier_component_slot_refinement_execution.py,exp_193_sigma_a_typed_product_carrier_component_slot_refinement_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
113,viruse_fabric/experiments/exp_194_sigma_a_typed_product_carrier_component_slot_refinement_boundary_audit.py,exp_194_sigma_a_typed_product_carrier_component_slot_refinement_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
114,viruse_fabric/experiments/exp_195_sigma_a_typed_product_carrier_component_slot_integration_execution_plan.py,exp_195_sigma_a_typed_product_carrier_component_slot_integration_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
115,viruse_fabric/experiments/exp_196_sigma_a_typed_product_carrier_component_slot_integration_execution.py,exp_196_sigma_a_typed_product_carrier_component_slot_integration_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
116,viruse_fabric/experiments/exp_197_sigma_a_typed_product_carrier_component_slot_integration_boundary_audit.py,exp_197_sigma_a_typed_product_carrier_component_slot_integration_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
117,viruse_fabric/experiments/exp_198_sigma_a_typed_product_carrier_refinement_execution_plan.py,exp_198_sigma_a_typed_product_carrier_refinement_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
118,viruse_fabric/experiments/exp_199_sigma_a_typed_product_carrier_refinement_execution.py,exp_199_sigma_a_typed_product_carrier_refinement_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
119,viruse_fabric/experiments/exp_19_bilingual_quality_audit.py,exp_19_bilingual_quality_audit,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
120,viruse_fabric/experiments/exp_200_sigma_a_typed_product_carrier_refinement_boundary_audit.py,exp_200_sigma_a_typed_product_carrier_refinement_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
121,viruse_fabric/experiments/exp_201_sigma_a_carrier_level_draft_assembly_execution_plan.py,exp_201_sigma_a_carrier_level_draft_assembly_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
122,viruse_fabric/experiments/exp_202_sigma_a_carrier_level_draft_assembly_execution.py,exp_202_sigma_a_carrier_level_draft_assembly_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
123,viruse_fabric/experiments/exp_203_sigma_a_carrier_level_draft_assembly_boundary_audit.py,exp_203_sigma_a_carrier_level_draft_assembly_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
124,viruse_fabric/experiments/exp_204_sigma_a_carrier_draft_clause_creation_execution_plan.py,exp_204_sigma_a_carrier_draft_clause_creation_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
125,viruse_fabric/experiments/exp_205_sigma_a_carrier_draft_clause_creation_execution.py,exp_205_sigma_a_carrier_draft_clause_creation_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
126,viruse_fabric/experiments/exp_206_sigma_a_carrier_draft_clause_creation_boundary_audit.py,exp_206_sigma_a_carrier_draft_clause_creation_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
127,viruse_fabric/experiments/exp_207_whole_sigma_a_draft_assembly_execution_plan.py,exp_207_whole_sigma_a_draft_assembly_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
128,viruse_fabric/experiments/exp_208_whole_sigma_a_draft_assembly_execution.py,exp_208_whole_sigma_a_draft_assembly_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
129,viruse_fabric/experiments/exp_209_whole_sigma_a_draft_assembly_boundary_audit.py,exp_209_whole_sigma_a_draft_assembly_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
130,viruse_fabric/experiments/exp_20_theory_manifest.py,exp_20_theory_manifest,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
131,viruse_fabric/experiments/exp_210_time_index_refinement_execution_plan.py,exp_210_time_index_refinement_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
132,viruse_fabric/experiments/exp_211_time_index_refinement_execution_plan_boundary_audit.py,exp_211_time_index_refinement_execution_plan_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
133,viruse_fabric/experiments/exp_212_time_index_refinement_execution.py,exp_212_time_index_refinement_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
134,viruse_fabric/experiments/exp_213_time_index_refinement_boundary_audit.py,exp_213_time_index_refinement_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
135,viruse_fabric/experiments/exp_214_sigma_a_refinement_execution_plan.py,exp_214_sigma_a_refinement_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
136,viruse_fabric/experiments/exp_215_sigma_a_refinement_execution_plan_boundary_audit.py,exp_215_sigma_a_refinement_execution_plan_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
137,viruse_fabric/experiments/exp_216_sigma_a_refinement_execution.py,exp_216_sigma_a_refinement_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
138,viruse_fabric/experiments/exp_217_adm_a_definition_draft_execution.py,exp_217_adm_a_definition_draft_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
139,viruse_fabric/experiments/exp_218_c_reg_definition_draft_execution.py,exp_218_c_reg_definition_draft_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
140,viruse_fabric/experiments/exp_219_pi_obs_definition_draft_execution.py,exp_219_pi_obs_definition_draft_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
141,viruse_fabric/experiments/exp_21_visual_explanation.py,exp_21_visual_explanation,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
142,viruse_fabric/experiments/exp_220_m_c_definition_draft_execution.py,exp_220_m_c_definition_draft_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
143,viruse_fabric/experiments/exp_221_r_a_definition_draft_execution.py,exp_221_r_a_definition_draft_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
144,viruse_fabric/experiments/exp_222_traj_a_definition_draft_execution.py,exp_222_traj_a_definition_draft_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
145,viruse_fabric/experiments/exp_223_dependent_object_draft_bundle_integration_execution.py,exp_223_dependent_object_draft_bundle_integration_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
146,viruse_fabric/experiments/exp_224_sigma_a_definition_completion_readiness_plan.py,exp_224_sigma_a_definition_completion_readiness_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
147,viruse_fabric/experiments/exp_225_sigma_a_definition_completion_readiness_boundary_audit.py,exp_225_sigma_a_definition_completion_readiness_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
148,viruse_fabric/experiments/exp_226_controlled_sigma_a_definition_completion_execution_plan.py,exp_226_controlled_sigma_a_definition_completion_execution_plan,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
149,viruse_fabric/experiments/exp_227_controlled_sigma_a_definition_completion_execution.py,exp_227_controlled_sigma_a_definition_completion_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
150,viruse_fabric/experiments/exp_228_dependent_object_definition_completion_planning.py,exp_228_dependent_object_definition_completion_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
151,viruse_fabric/experiments/exp_229_controlled_adm_a_definition_completion_execution.py,exp_229_controlled_adm_a_definition_completion_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
152,viruse_fabric/experiments/exp_22_scenario_stress_tests.py,exp_22_scenario_stress_tests,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
153,viruse_fabric/experiments/exp_230_controlled_c_reg_definition_completion_execution.py,exp_230_controlled_c_reg_definition_completion_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
154,viruse_fabric/experiments/exp_231_controlled_pi_obs_definition_completion_execution.py,exp_231_controlled_pi_obs_definition_completion_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
155,viruse_fabric/experiments/exp_232_controlled_m_c_definition_completion_execution.py,exp_232_controlled_m_c_definition_completion_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
156,viruse_fabric/experiments/exp_233_controlled_r_a_definition_completion_execution.py,exp_233_controlled_r_a_definition_completion_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
157,viruse_fabric/experiments/exp_234_controlled_traj_a_definition_completion_execution.py,exp_234_controlled_traj_a_definition_completion_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
158,viruse_fabric/experiments/exp_235_controlled_dependent_object_completion_bundle_integration.py,exp_235_controlled_dependent_object_completion_bundle_integration,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
159,viruse_fabric/experiments/exp_236_controlled_full_dependency_closure_boundary_audit.py,exp_236_controlled_full_dependency_closure_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
160,viruse_fabric/experiments/exp_237_controlled_theorem_candidate_planning_over_dependency_closed_bundle.py,exp_237_controlled_theorem_candidate_planning_over_dependency_closed_bundle,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
161,viruse_fabric/experiments/exp_238_controlled_tc_001_proof_strategy_planning.py,exp_238_controlled_tc_001_proof_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
162,viruse_fabric/experiments/exp_239_controlled_tc_001_proof_obligation_lemma_planning.py,exp_239_controlled_tc_001_proof_obligation_lemma_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
163,viruse_fabric/experiments/exp_23_public_demo_package.py,exp_23_public_demo_package,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
164,viruse_fabric/experiments/exp_240_controlled_l_001_lemma_proof_strategy_planning.py,exp_240_controlled_l_001_lemma_proof_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
165,viruse_fabric/experiments/exp_241_controlled_l_001_lemma_proof_execution.py,exp_241_controlled_l_001_lemma_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
166,viruse_fabric/experiments/exp_242_controlled_l_002_lemma_proof_strategy_planning.py,exp_242_controlled_l_002_lemma_proof_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
167,viruse_fabric/experiments/exp_243_controlled_l_002_lemma_proof_execution.py,exp_243_controlled_l_002_lemma_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
168,viruse_fabric/experiments/exp_244_controlled_l_003_lemma_proof_strategy_planning.py,exp_244_controlled_l_003_lemma_proof_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
169,viruse_fabric/experiments/exp_245_controlled_l_003_lemma_proof_execution.py,exp_245_controlled_l_003_lemma_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
170,viruse_fabric/experiments/exp_246_controlled_l_004_lemma_proof_strategy_planning.py,exp_246_controlled_l_004_lemma_proof_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
171,viruse_fabric/experiments/exp_247_controlled_l_004_lemma_proof_execution.py,exp_247_controlled_l_004_lemma_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
172,viruse_fabric/experiments/exp_248_controlled_l_005_lemma_proof_strategy_planning.py,exp_248_controlled_l_005_lemma_proof_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
173,viruse_fabric/experiments/exp_249_controlled_l_005_lemma_proof_execution.py,exp_249_controlled_l_005_lemma_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
174,viruse_fabric/experiments/exp_24_validation_protocol.py,exp_24_validation_protocol,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
175,viruse_fabric/experiments/exp_250_controlled_l_006_lemma_proof_strategy_planning.py,exp_250_controlled_l_006_lemma_proof_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
176,viruse_fabric/experiments/exp_251_controlled_l_006_lemma_proof_execution.py,exp_251_controlled_l_006_lemma_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
177,viruse_fabric/experiments/exp_252_controlled_tc_001_supporting_lemma_chain_completion_audit.py,exp_252_controlled_tc_001_supporting_lemma_chain_completion_audit,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
178,viruse_fabric/experiments/exp_253_controlled_tc_001_proof_execution_strategy_planning.py,exp_253_controlled_tc_001_proof_execution_strategy_planning,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
179,viruse_fabric/experiments/exp_254_controlled_tc_001_proof_execution.py,exp_254_controlled_tc_001_proof_execution,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
180,viruse_fabric/experiments/exp_255_controlled_tc_001_proof_acceptance_boundary_audit.py,exp_255_controlled_tc_001_proof_acceptance_boundary_audit,CLAIM-VF-H2-C-or-D,TESTS_BOUNDARY,tests restricted assumptions or boundary of generalization,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,yes_boundary_only
181,viruse_fabric/experiments/exp_256_controlled_tc_001_presentation_manuscript_proof_section_extraction.py,exp_256_controlled_tc_001_presentation_manuscript_proof_section_extraction,none,IRRELEVANT_OR_UNUSABLE,writing_or_ledger_artifact_not_direct_experiment_evidence,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
182,viruse_fabric/experiments/exp_257_controlled_tc_001_presentation_claim_package.py,exp_257_controlled_tc_001_presentation_claim_package,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
183,viruse_fabric/experiments/exp_258_controlled_tc_001_slide_deck_content_extraction.py,exp_258_controlled_tc_001_slide_deck_content_extraction,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
184,viruse_fabric/experiments/exp_259_controlled_tc_001_actual_presentation_deck_draft.py,exp_259_controlled_tc_001_actual_presentation_deck_draft,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
185,viruse_fabric/experiments/exp_25_constructive_attractor_ablation.py,exp_25_constructive_attractor_ablation,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
186,viruse_fabric/experiments/exp_260_controlled_tc_001_presentation_delivery_package.py,exp_260_controlled_tc_001_presentation_delivery_package,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
187,viruse_fabric/experiments/exp_261_controlled_tc_001_renderable_presentation_source.py,exp_261_controlled_tc_001_renderable_presentation_source,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
188,viruse_fabric/experiments/exp_262_controlled_tc_001_presentation_export_package.py,exp_262_controlled_tc_001_presentation_export_package,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
189,viruse_fabric/experiments/exp_263_safe_multidisciplinary_simulation_environment_scope_map.py,exp_263_safe_multidisciplinary_simulation_environment_scope_map,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
190,viruse_fabric/experiments/exp_264_safe_toy_simulation_architecture_specification.py,exp_264_safe_toy_simulation_architecture_specification,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
191,viruse_fabric/experiments/exp_265_safe_toy_simulation_safety_test_scaffolding.py,exp_265_safe_toy_simulation_safety_test_scaffolding,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
192,viruse_fabric/experiments/exp_266_safe_toy_simulation_safety_guard_module.py,exp_266_safe_toy_simulation_safety_guard_module,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
193,viruse_fabric/experiments/exp_267_safe_toy_simulation_safety_guard_unit_test_package.py,exp_267_safe_toy_simulation_safety_guard_unit_test_package,none,IRRELEVANT_OR_UNUSABLE,not clearly mappable to VF-H2 proof claim,synthetic_toy_only_not_real_bio,not_a_proof; evidence_classification_only,no
